timestamp,location_name,temperature_current,humidity,rainfall,disease_risk,disease_name,pathogen,condition_match_score,risk_category
2026-05-23 00:00:00,Nuwara Eliya,16.71,81.78,0.53,7.42,Blister Blight (dormant/low risk),Exobasidium vexans,1.0,Low
2026-05-23 01:00:00,Nuwara Eliya,16.94,82.1,0.06,15.45,Blister Blight,Exobasidium vexans,1.0,Moderate
2026-05-23 02:00:00,Nuwara Eliya,16.81,78.44,0.0,13.7,Blister Blight,Exobasidium vexans,0.938,Moderate
2026-05-23 03:00:00,Nuwara Eliya,11.64,91.0,3.44,12.74,Blister Blight,Exobasidium vexans,0.866,Moderate
2026-05-23 04:00:00,Nuwara Eliya,16.81,94.2,0.34,21.64,Blister Blight,Exobasidium vexans,1.0,High
2026-05-23 05:00:00,Nuwara Eliya,10.49,95.0,2.69,15.92,Blister Blight,Exobasidium vexans,0.82,High
2026-05-23 06:00:00,Nuwara Eliya,10.0,95.0,6.92,13.89,Blister Blight,Exobasidium vexans,0.8,Moderate
2026-05-23 07:00:00,Nuwara Eliya,13.98,90.2,0.29,17.08,Blister Blight,Exobasidium vexans,0.959,High
2026-05-23 08:00:00,Nuwara Eliya,12.0,95.0,1.62,19.23,Blister Blight,Exobasidium vexans,0.88,High
2026-05-23 09:00:00,Nuwara Eliya,15.27,85.46,0.0,17.95,Blister Blight,Exobasidium vexans,1.0,High
2026-05-23 10:00:00,Nuwara Eliya,13.91,80.22,0.0,7.45,Blister Blight (dormant/low risk),Exobasidium vexans,0.956,Low
2026-05-23 11:00:00,Nuwara Eliya,11.84,85.26,0.0,12.7,Blister Blight,Exobasidium vexans,0.874,Moderate
2026-05-23 12:00:00,Nuwara Eliya,13.37,91.4,6.01,14.08,Blister Blight,Exobasidium vexans,0.935,Moderate
2026-05-23 13:00:00,Nuwara Eliya,13.6,73.69,0.0,12.78,Blister Blight,Exobasidium vexans,0.692,Moderate
2026-05-23 14:00:00,Nuwara Eliya,15.55,82.07,1.84,9.95,Blister Blight (dormant/low risk),Exobasidium vexans,1.0,Low
2026-05-23 15:00:00,Nuwara Eliya,17.6,76.02,0.33,14.1,Blister Blight,Exobasidium vexans,0.841,Moderate
2026-05-23 16:00:00,Nuwara Eliya,14.53,79.59,0.0,15.53,Blister Blight,Exobasidium vexans,0.965,Moderate
2026-05-23 17:00:00,Nuwara Eliya,20.08,78.93,0.0,15.07,Blister Blight,Exobasidium vexans,0.957,Moderate
2026-05-23 18:00:00,Nuwara Eliya,17.54,79.96,0.0,19.01,Blister Blight,Exobasidium vexans,0.998,High
2026-05-23 19:00:00,Nuwara Eliya,20.03,93.72,6.46,17.3,Blister Blight,Exobasidium vexans,1.0,High
2026-05-23 20:00:00,Nuwara Eliya,17.25,83.11,0.0,10.63,Blister Blight (dormant/low risk),Exobasidium vexans,1.0,Low
2026-05-23 21:00:00,Nuwara Eliya,16.64,80.59,3.02,10.29,Blister Blight (dormant/low risk),Exobasidium vexans,1.0,Low
2026-05-23 22:00:00,Nuwara Eliya,18.03,87.67,0.04,12.21,Blister Blight,Exobasidium vexans,1.0,Moderate
2026-05-23 23:00:00,Nuwara Eliya,18.46,90.27,4.42,16.75,Blister Blight,Exobasidium vexans,1.0,High
2026-05-23 00:00:00,Kandy,23.45,71.05,0.0,11.71,Grey Blight,Pestalotiopsis spp.,0.842,Moderate
2026-05-23 01:00:00,Kandy,21.12,76.44,3.09,16.57,Grey Blight,Pestalotiopsis spp.,1.0,High
2026-05-23 02:00:00,Kandy,19.86,80.62,0.56,12.06,Grey Blight,Pestalotiopsis spp.,0.994,Moderate
2026-05-23 03:00:00,Kandy,20.14,71.45,0.38,16.76,Grey Blight,Pestalotiopsis spp.,0.858,High
2026-05-23 04:00:00,Kandy,21.98,82.16,1.5,20.18,Grey Blight,Pestalotiopsis spp.,1.0,High
2026-05-23 05:00:00,Kandy,21.79,81.96,1.66,15.07,Grey Blight,Pestalotiopsis spp.,1.0,Moderate
2026-05-23 06:00:00,Kandy,23.31,78.52,0.0,10.03,Grey Blight (dormant/low risk),Pestalotiopsis spp.,1.0,Low
2026-05-23 07:00:00,Kandy,21.01,74.13,0.83,15.67,Grey Blight,Pestalotiopsis spp.,0.965,Moderate
2026-05-23 08:00:00,Kandy,18.0,78.51,0.77,19.57,Grey Blight,Pestalotiopsis spp.,0.92,High
2026-05-23 09:00:00,Kandy,20.69,74.15,0.82,16.76,Grey Blight,Pestalotiopsis spp.,0.966,High
2026-05-23 10:00:00,Kandy,22.84,70.1,0.0,12.22,Grey Blight,Pestalotiopsis spp.,0.804,Moderate
2026-05-23 11:00:00,Kandy,25.11,76.47,0.0,12.77,Grey Blight,Pestalotiopsis spp.,0.996,Moderate
2026-05-23 12:00:00,Kandy,22.96,69.41,0.77,11.91,Grey Blight,Pestalotiopsis spp.,0.776,Moderate
2026-05-23 13:00:00,Kandy,23.94,59.42,0.0,12.71,Grey Blight,Pestalotiopsis spp.,0.4,Moderate
2026-05-23 14:00:00,Kandy,29.33,58.68,0.0,8.97,Grey Blight (dormant/low risk),Pestalotiopsis spp.,0.227,Low
2026-05-23 15:00:00,Kandy,22.1,58.51,0.0,8.7,Grey Blight (dormant/low risk),Pestalotiopsis spp.,0.4,Low
2026-05-23 16:00:00,Kandy,26.68,62.66,0.0,9.24,Grey Blight (dormant/low risk),Pestalotiopsis spp.,0.439,Low
2026-05-23 17:00:00,Kandy,25.49,70.6,1.36,12.26,Grey Blight,Pestalotiopsis spp.,0.804,Moderate
2026-05-23 18:00:00,Kandy,28.15,66.73,1.35,7.69,Grey Blight (dormant/low risk),Pestalotiopsis spp.,0.543,Low
2026-05-23 19:00:00,Kandy,23.21,72.83,0.0,18.18,Grey Blight,Pestalotiopsis spp.,0.913,High
2026-05-23 20:00:00,Kandy,25.54,68.09,0.0,16.05,Grey Blight,Pestalotiopsis spp.,0.702,High
